Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GraphQL - Usuarios,1495,0,7,10.596651906354577,4.516665999986458,96.50191599999403,20601.0,16.389830397808684,0.0,7,9,12,14,20,26,43,49,87,97,97
GET,REST - Usuarios,1475,0,4,7.777365547796885,2.596624999995356,81.90629099999569,22811.0,16.170568452687498,0.0,4,6,9,11,18,23,32,40,63,82,82
POST,SOAP - Usuarios,1551,0,23,27.438258073500837,13.260290999994595,98.88591700000404,53665.0,17.003763844148008,0.0,23,29,33,36,46,55,66,78,99,99,99
gRPC,gRPC - Usuarios,1511,0,0,3.274652547981469,0,59,11291.0,16.565239953905635,0.0,0,1,3,6,12,17,24,31,50,59,59
,Aggregated,6032,0,7,12.403572124502723,0,98.88591700000404,27310.98076923077,66.12940264854983,0.0,7,14,18,20,30,40,52,60,92,99,99
