Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GraphQL - Usuarios,4193,1,110.0,118.25547010231305,4.681000000118729,664.5349589998659,20596.086811352252,45.27281808801347,0.010797237798238367,110,150,180,190,230,260,290,310,470,660,660
GET,REST - Usuarios,4257,1,110.0,113.03131550974764,2.8024579999055277,509.31229200000416,22805.64153159502,45.96384130710073,0.010797237798238367,110,150,170,190,220,250,280,310,460,510,510
POST,SOAP - Usuarios,4179,1,150.0,150.74091416271676,12.829541999963112,542.7441659999204,53652.15841110313,45.121656758838135,0.010797237798238367,150,180,200,210,250,280,310,340,410,540,540
gRPC,gRPC - Usuarios,4251,0,0,16.081157374735355,0,247,11291.0,45.899057880311304,0.0,0,0,7,18,64,110,150,170,200,250,250
,Aggregated,16880,3,90,99.24921662025956,0,664.5349589998659,26993.68595971564,182.25737403426365,0.0323917133947151,90,140,170,180,220,250,280,310,410,540,660
