Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GraphQL - Usuarios,1534,0,4,4.608888568448402,2.2331660000247666,18.47687500000461,18262.0,16.71956597736935,0.0,4,5,5,5,7,8,10,11,14,18,18
GET,REST - Usuarios,1623,0,2,2.669932998767485,1.0864160000068068,18.045292000010704,22729.0,17.689605985182826,0.0,2,3,3,3,4,5,6,7,17,18,18
POST,SOAP - Usuarios,1483,0,8,8.290294595414627,4.020624999995448,45.3684160000023,54489.0,16.163700354914436,0.0,8,9,9,10,12,13,14,16,27,45,45
gRPC,gRPC - Usuarios,1454,0,1,1.5034387895460797,0,5,11209.0,15.84761990293027,0.0,1,2,2,2,3,3,4,4,5,5,5
,Aggregated,6094,0,3,4.247430785362543,0,45.3684160000023,26584.861831309485,66.42049222039688,0.0,3,5,6,7,8,10,12,14,17,45,45
