Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GraphQL - Usuarios,4591,0,3,3.021778758876118,1.8063329999904454,19.330916000001253,18262.0,49.95377553207969,0.0,3,3,3,3,4,4,5,5,16,19,19
GET,REST - Usuarios,4515,0,1,1.6263310414171057,0.9363340000163589,17.958250000049247,22729.0,49.12683435576994,0.0,1,2,2,2,2,3,3,4,15,18,18
POST,SOAP - Usuarios,4592,0,6,5.80126410975663,3.61012500002289,18.729874999962703,54489.0,49.96465633703113,0.0,6,6,6,6,7,7,8,9,12,19,19
gRPC,gRPC - Usuarios,4630,0,1,0.8896328293736501,0,3,11209.0,50.37812692518601,0.0,1,1,1,1,1,1,1,1,2,3,3
,Aggregated,18328,0,2,2.8357854499127546,0,19.330916000001253,26657.214917066784,199.42339315006677,0.0,2,3,5,5,6,6,7,8,11,19,19
