Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GraphQL - Usuarios,4528,245,1200.0,1393.6841664840954,228.6160829999062,8858.666416999995,19486.325750883392,49.16034455422695,2.659956805606361,1200,1300,1400,1500,2200,2500,3500,4700,6600,8900,8900
GET,REST - Usuarios,4507,252,1200.0,1405.679420931884,213.08616700002858,9635.322249999945,21535.56800532505,48.93234825660355,2.7359555714808286,1200,1300,1400,1500,2200,2500,3500,5000,9400,9600,9600
POST,SOAP - Usuarios,4414,208,1200.0,1434.0377437369775,230.3974169999492,9242.850749999889,51136.15541458994,47.92265036712848,2.2582490431270332,1200,1300,1400,1500,2200,2600,4200,5400,8100,9200,9200
gRPC,gRPC - Usuarios,4398,0,0,19.272851296043655,0,386,11291.0,47.748938902272556,0.0,0,0,0,1,66,140,240,270,340,390,390
,Aggregated,17847,705,1200.0,1068.0004290264537,0,9635.322249999945,25812.052221661903,193.76428208023154,7.654161420214223,1200,1200,1300,1400,2000,2400,3000,4600,7900,9600,9600
